b,c,f,h,k,l,n,p,r,t,v,w
1.0,0.07093510240063551,-0.03110596585949684,-0.029016739565075063,0.002920835399768277,-0.026310060813149377,-0.06100767223405019,-0.01871071922176712,0.06824254873372222,0.018824973767579637,0.06795109146417873,0.037302226700277316
0.07093510240063551,1.0,0.016485747475957418,-0.09634099612699185,0.0032018087521654593,-0.07816072938721706,-0.36480889303649433,-0.3721165591692332,0.9944984632491509,0.2721228193367518,0.24321486738432518,0.028285822884032218
-0.03110596585949684,0.016485747475957418,1.0,-0.04445315435503728,-0.0009405510333725938,-0.03090634990303557,-0.021931107700112033,-0.030161410343808027,0.017885584187300827,-0.03199614447086708,-0.019013428753124575,0.046081846431817806
-0.029016739565075063,-0.09634099612699185,-0.04445315435503728,1.0,-0.05104333645245968,0.018241043357742258,0.22543327434406926,0.2276707998563326,-0.09327940106792788,0.033532311048546024,0.10137305688898884,0.02633913973141355
0.002920835399768277,0.0032018087521654593,-0.0009405510333725938,-0.05104333645245968,1.0,0.02761239521184706,0.028768531663828954,0.028963532656808965,0.004783157532815515,0.004684200962612182,-0.009856125864825023,0.015880243924441383
-0.026310060813149377,-0.07816072938721706,-0.03090634990303557,0.018241043357742258,0.02761239521184706,1.0,0.009700815255431545,0.011887079210445866,-0.08196641415885737,-0.022968920341560943,0.03979622937085095,0.05161414941957093
-0.06100767223405019,-0.36480889303649433,-0.021931107700112033,0.22543327434406926,0.028768531663828954,0.009700815255431545,1.0,0.9912000539134194,-0.3622683161730275,-0.1348311913543344,-0.10963314493374489,-0.017591770105365234
-0.01871071922176712,-0.3721165591692332,-0.030161410343808027,0.2276707998563326,0.028963532656808965,0.011887079210445866,0.9912000539134194,1.0,-0.37083650839745014,-0.15579868507724012,-0.10915608227848507,-0.03183604146535452
0.06824254873372222,0.9944984632491509,0.017885584187300827,-0.09327940106792788,0.004783157532815515,-0.08196641415885737,-0.3622683161730275,-0.37083650839745014,1.0,0.2739726758286062,0.24361696963874854,0.03171712519405498
0.018824973767579637,0.2721228193367518,-0.03199614447086708,0.033532311048546024,0.004684200962612182,-0.022968920341560943,-0.1348311913543344,-0.15579868507724012,0.2739726758286062,1.0,0.16695286264257217,0.01252823335024766
0.06795109146417873,0.24321486738432518,-0.019013428753124575,0.10137305688898884,-0.009856125864825023,0.03979622937085095,-0.10963314493374489,-0.10915608227848507,0.24361696963874854,0.16695286264257217,1.0,0.006039251585601964
0.037302226700277316,0.028285822884032218,0.046081846431817806,0.02633913973141355,0.015880243924441383,0.05161414941957093,-0.017591770105365234,-0.03183604146535452,0.03171712519405498,0.01252823335024766,0.006039251585601964,1.0
